log Total_Ejecta_Mass_(solmass),log KE_(erg),log KE_(erg)_lower_limit,log KE_(erg)_upper_limit
-1.1072220317709058,49.13394466541618,48.97904270543044,49.247888017723014
-1.094397188028457,49.15371655075465,48.99881459076891,49.267659903061485
-1.0815723442860083,49.17343811208733,49.01853615210159,49.287381464394166
-1.0687475005435596,49.193109349414236,49.03820738942849,49.30705270172107
-1.0559226568011109,49.212730262735356,49.05782830274961,49.32667361504219
-1.0430978130586623,49.23230085205069,49.07739889206495,49.346244204357525
-1.0302729693162136,49.25182111736024,49.096919157374494,49.36576446966707
-1.0174481255737648,49.271291058664005,49.11638909867826,49.38523441097084
-1.004623281831316,49.29071067596199,49.135808715976246,49.40465402826882
-0.9917984380888674,49.31007996925419,49.15517800926845,49.42402332156102
-0.9789735943464186,49.329398938540606,49.17449697855486,49.44334229084744
-0.9661487506039699,49.34866758382124,49.193765623835496,49.46261093612807
-0.9533239068615211,49.36788590509609,49.212983945110345,49.48182925740292
-0.9404990631190725,49.38705390236516,49.23215194237942,49.500997254671994
-0.9276742193766238,49.40617157562844,49.2512696156427,49.520114927935275
-0.914849375634175,49.42523892488594,49.270336964900196,49.53918227719277
-0.9020245318917264,49.44425595013765,49.28935399015191,49.558199302444486
-0.8891996881492776,49.46322265138358,49.30832069139784,49.577166003690415
-0.8763748444068289,49.482139028623735,49.32723706863799,49.59608238093057
-0.8635500006643801,49.501005081858096,49.34610312187235,49.61494843416493
-0.8507251569219314,49.51982081108668,49.36491885110094,49.633764163393515
-0.8379003131794827,49.538586216309476,49.38368425632373,49.65252956861631
-0.825075469437034,49.557301297526486,49.40239933754074,49.67124464983332
-0.8122506256945853,49.57596605473772,49.421064094751976,49.68990940704455
-0.7994257819521365,49.59458048794316,49.43967852795742,49.708523840249995
-0.7866009382096879,49.61314459714283,49.458242637157085,49.72708794944966
-0.7737760944672392,49.63165838233671,49.47675642235097,49.74560173464354
-0.7609512507247904,49.6501218435248,49.49521988353906,49.764065195831634
-0.7481264069823417,49.668534980707115,49.51363302072137,49.78247833301395
-0.7353015632398929,49.686897793883645,49.5319958338979,49.80084114619048
-0.7224767194974442,49.705210283054384,49.55030832306864,49.81915363536122
-0.7096518757549956,49.72347244821935,49.568570488233604,49.83741580052618
-0.6968270320125468,49.741684289378526,49.58678232939278,49.85562764168536
-0.6840021882700981,49.75984580653192,49.60494384654618,49.873789158838754
-0.6711773445276494,49.77795699967953,49.62305503969379,49.891900351986365
-0.6583525007852007,49.79601786882136,49.641115908835616,49.90996122112819
-0.645527657042752,49.8140284139574,49.65912645397166,49.927971766264235
-0.6327028133003032,49.83198863508766,49.67708667510192,49.945931987394495
-0.6198779695578545,49.84989853221214,49.694996572226394,49.96384188451897
-0.6070531258154058,49.86775810533083,49.712856145345086,49.98170145763766
-0.5942282820729571,49.88556735444374,49.73066539445799,49.99951070675057
-0.5814034383305083,49.90332627955086,49.74842431956512,50.017269631857694
-0.5685785945880596,49.9210348806522,49.76613292066646,50.034978232959034
-0.5557537508456108,49.938693157747764,49.78379119776202,50.0526365100546
-0.5429289071031622,49.956301110837536,49.80139915085179,50.07024446314437
-0.5301040633607135,49.973858739921525,49.81895677993578,50.08780209222836
-0.5172792196182647,49.99136604499974,49.83646408501399,50.10530939730657
-0.504454375875816,50.00882302607216,49.853921066086414,50.12276637837899
-0.49162953213336724,50.026229683138794,49.87132772315305,50.14017303544563
-0.4788046883909186,50.043586016199654,49.88868405621391,50.15752936850649
-0.46597984464846987,50.060892025254724,49.90599006526898,50.17483537756156
-0.4531550009060211,50.078147710304016,49.92324575031827,50.19209106261085
-0.4403301571635724,50.09535307134752,49.940451111361774,50.20929642365435
-0.42750531342112374,50.11250810838524,49.9576061483995,50.226451460692076
-0.414680469678675,50.12961282141718,49.97471086143144,50.243556173724016
-0.40185562593622626,50.14666721044333,49.99176525045759,50.260610562750166
-0.3890307821937775,50.163671275463706,50.00876931547796,50.27761462777054
-0.37620593845132877,50.180625016478295,50.02572305649255,50.29456836878513
-0.36338109470888014,50.1975284334871,50.04262647350136,50.311471785793934
-0.3505562509664314,50.214381526490115,50.05947956650437,50.32832487879695
-0.33773140722398265,50.23118429548735,50.07628233550161,50.345127647794186
-0.3249065634815339,50.247936740478806,50.09303478049306,50.36188009278564
-0.3120817197390853,50.264638861464476,50.10973690147873,50.37858221377131
-0.29925687599663653,50.28129065844436,50.12638869845862,50.395234010751196
-0.2864320322541878,50.297892131418465,50.14299017143272,50.4118354837253
-0.27360718851173904,50.31444328038678,50.15954132040104,50.428386632693616
-0.2607823447692903,50.33094410534932,50.176042145363574,50.44488745765615
-0.24795750102684166,50.34739460630607,50.192492646320325,50.4613379586129
-0.23513265728439292,50.363794783257035,50.20889282327129,50.47773813556387
-0.22230781354194418,50.380144636202225,50.22524267621648,50.49408798850906
-0.20948296979949543,50.396444165141624,50.24154220515588,50.51038751744846
-0.1966581260570468,50.41269337007524,50.257791410089496,50.52663672238207
-0.18383328231459806,50.42889225100307,50.27399029101733,50.5428356033099
-0.1710084385721493,50.445040807925125,50.29013884793938,50.55898416023196
-0.15818359482970057,50.46113904084139,50.306237080855645,50.57508239314822
-0.14535875108725183,50.477186949751875,50.32228498976613,50.59113030205871
-0.1325339073448032,50.49318453465657,50.33828257467083,50.607127886963404
-0.11970906360235445,50.50913179555549,50.35422983556975,50.62307514786232
-0.10688421985990582,50.52502873244862,50.370126772462875,50.63897208475545
-0.09405937611745707,50.54087534533597,50.385973385350226,50.6548186976428
-0.08123453237500833,50.55667163421753,50.40176967423179,50.67061498652436
-0.06840968863255958,50.57241759909331,50.41751563910757,50.68636095140015
-0.05558484489011084,50.58811323996331,50.43321127997757,50.70205659227015
-0.0427600011476621,50.60375855682752,50.44885659684178,50.717701909134355
-0.029935157405213353,50.619353549685954,50.46445158970021,50.73329690199279
-0.01711031366276461,50.6348982185386,50.47999625855286,50.748841570845435
-0.004285469920315865,50.650392563385466,50.49549060339972,50.7643359156923
0.008539373822132656,50.66583658422655,50.510934624240804,50.77977993653338
0.0213642175645814,50.681230281061836,50.52632832107609,50.79517363336867
0.034189061307030144,50.69657365389135,50.541671693905606,50.81051700619818
0.04701390504947889,50.71186670271508,50.556964742729335,50.82581005502191
0.05983874879192763,50.72710942753302,50.57220746754728,50.841052779839856
0.07266359253437638,50.742301828345184,50.58739986835944,50.85624518065202
0.08548843627682512,50.75744390515157,50.602541945165825,50.8713872574584
0.09831328001927386,50.77253565795216,50.61763369796642,50.886479010258995
0.11113812376172261,50.78757708674697,50.63267512676123,50.901520439053805
0.12396296750417135,50.802568191536,50.647666231550254,50.91651154384283
0.13678781124661987,50.81750897231924,50.662607012333496,50.93145232462607
0.14961265498906862,50.8323994290967,50.67749746911095,50.94634278140353
0.1624374987315174,50.84723956186838,50.692337601882635,50.96118291417521
