Sparks,KE_(erg),KE_(erg)_lower_limit,KE_(erg)_upper_limit
10.0,1.5335552407932017e+51,1.0734886685552412e+51,1.9936218130311623e+51
11.414141414141413,1.5325717515094293e+51,1.0728002260566005e+51,1.9923432769622583e+51
12.828282828282829,1.5315882622256565e+51,1.0721117835579596e+51,1.9910647408933537e+51
14.242424242424242,1.530604772941884e+51,1.0714233410593188e+51,1.9897862048244494e+51
15.656565656565657,1.5296212836581114e+51,1.0707348985606779e+51,1.9885076687555448e+51
17.070707070707073,1.528637794374339e+51,1.0700464560620372e+51,1.987229132686641e+51
18.484848484848484,1.5276543050905665e+51,1.0693580135633964e+51,1.9859505966177365e+51
19.8989898989899,1.5266708158067937e+51,1.0686695710647555e+51,1.984672060548832e+51
21.313131313131315,1.5256873265230213e+51,1.0679811285661148e+51,1.9833935244799276e+51
22.727272727272727,1.5247038372392485e+51,1.0672926860674739e+51,1.9821149884110233e+51
24.141414141414142,1.523720347955476e+51,1.0666042435688332e+51,1.980836452342119e+51
25.555555555555557,1.5227368586717037e+51,1.0659158010701924e+51,1.9795579162732147e+51
26.96969696969697,1.521753369387931e+51,1.0652273585715515e+51,1.97827938020431e+51
28.383838383838384,1.5207698801041585e+51,1.0645389160729108e+51,1.977000844135406e+51
29.7979797979798,1.5197863908203857e+51,1.0638504735742699e+51,1.9757223080665015e+51
31.21212121212121,1.5188029015366133e+51,1.0631620310756292e+51,1.9744437719975972e+51
32.62626262626263,1.517819412252841e+51,1.0624735885769886e+51,1.9731652359286933e+51
34.04040404040404,1.516835922969068e+51,1.0617851460783475e+51,1.9718866998597887e+51
35.45454545454545,1.5158524336852957e+51,1.061096703579707e+51,1.9706081637908844e+51
36.868686868686865,1.514868944401523e+51,1.0604082610810659e+51,1.9693296277219797e+51
38.282828282828284,1.5138854551177505e+51,1.0597198185824253e+51,1.9680510916530758e+51
39.696969696969695,1.512901965833978e+51,1.0590313760837846e+51,1.9667725555841715e+51
41.111111111111114,1.5119184765502053e+51,1.0583429335851437e+51,1.965494019515267e+51
42.525252525252526,1.510934987266433e+51,1.057654491086503e+51,1.964215483446363e+51
43.93939393939394,1.50995149798266e+51,1.056966048587862e+51,1.9629369473774583e+51
45.35353535353536,1.5089680086988877e+51,1.0562776060892213e+51,1.961658411308554e+51
46.76767676767677,1.507984519415115e+51,1.0555891635905804e+51,1.9603798752396494e+51
48.18181818181818,1.5070010301313425e+51,1.0549007210919397e+51,1.9591013391707454e+51
49.5959595959596,1.50601754084757e+51,1.054212278593299e+51,1.957822803101841e+51
51.01010101010101,1.5050340515637973e+51,1.053523836094658e+51,1.9565442670329365e+51
52.42424242424242,1.5040505622800248e+51,1.0528353935960173e+51,1.9552657309640325e+51
53.83838383838384,1.503067072996252e+51,1.0521469510973764e+51,1.953987194895128e+51
55.25252525252525,1.5020835837124796e+51,1.0514585085987357e+51,1.9527086588262236e+51
56.666666666666664,1.5011000944287072e+51,1.050770066100095e+51,1.9514301227573193e+51
58.08080808080808,1.5001166051449344e+51,1.050081623601454e+51,1.950151586688415e+51
59.494949494949495,1.499133115861162e+51,1.0493931811028133e+51,1.9488730506195107e+51
60.90909090909091,1.4981496265773893e+51,1.0487047386041724e+51,1.947594514550606e+51
62.323232323232325,1.4971661372936168e+51,1.0480162961055317e+51,1.9463159784817018e+51
63.73737373737374,1.4961826480098442e+51,1.047327853606891e+51,1.9450374424127975e+51
65.15151515151516,1.4951991587260716e+51,1.04663941110825e+51,1.9437589063438932e+51
66.56565656565657,1.4942156694422992e+51,1.0459509686096093e+51,1.942480370274989e+51
67.97979797979798,1.4932321801585266e+51,1.0452625261109686e+51,1.9412018342060846e+51
69.39393939393939,1.492248690874754e+51,1.0445740836123277e+51,1.9399232981371803e+51
70.8080808080808,1.4912652015909814e+51,1.043885641113687e+51,1.938644762068276e+51
72.22222222222223,1.4902817123072088e+51,1.043197198615046e+51,1.9373662259993714e+51
73.63636363636363,1.4892982230234364e+51,1.0425087561164055e+51,1.9360876899304675e+51
75.05050505050505,1.4883147337396638e+51,1.0418203136177646e+51,1.9348091538615628e+51
76.46464646464646,1.4873312444558912e+51,1.0411318711191238e+51,1.9335306177926585e+51
77.87878787878788,1.4863477551721186e+51,1.040443428620483e+51,1.9322520817237542e+51
79.29292929292929,1.485364265888346e+51,1.0397549861218422e+51,1.93097354565485e+51
80.70707070707071,1.4843807766045736e+51,1.0390665436232015e+51,1.9296950095859457e+51
82.12121212121212,1.483397287320801e+51,1.0383781011245606e+51,1.9284164735170414e+51
83.53535353535354,1.4824137980370284e+51,1.0376896586259198e+51,1.927137937448137e+51
84.94949494949495,1.4814303087532558e+51,1.037001216127279e+51,1.9258594013792324e+51
86.36363636363636,1.4804468194694832e+51,1.0363127736286382e+51,1.924580865310328e+51
87.77777777777777,1.4794633301857107e+51,1.0356243311299975e+51,1.923302329241424e+51
89.1919191919192,1.4784798409019381e+51,1.0349358886313567e+51,1.9220237931725196e+51
90.60606060606061,1.4774963516181655e+51,1.0342474461327158e+51,1.9207452571036153e+51
92.02020202020202,1.476512862334393e+51,1.033559003634075e+51,1.919466721034711e+51
93.43434343434343,1.4755293730506204e+51,1.0328705611354342e+51,1.9181881849658064e+51
94.84848484848484,1.474545883766848e+51,1.0321821186367934e+51,1.9169096488969024e+51
96.26262626262626,1.4735623944830753e+51,1.0314936761381527e+51,1.915631112827998e+51
97.67676767676768,1.4725789051993027e+51,1.0308052336395118e+51,1.9143525767590935e+51
99.0909090909091,1.4715954159155301e+51,1.030116791140871e+51,1.9130740406901892e+51
100.5050505050505,1.4706119266317575e+51,1.0294283486422302e+51,1.911795504621285e+51
101.91919191919192,1.4696284373479851e+51,1.0287399061435894e+51,1.9105169685523806e+51
103.33333333333333,1.4686449480642125e+51,1.0280514636449487e+51,1.9092384324834763e+51
104.74747474747475,1.4676614587804399e+51,1.0273630211463078e+51,1.907959896414572e+51
106.16161616161617,1.4666779694966673e+51,1.026674578647667e+51,1.9066813603456677e+51
107.57575757575758,1.4656944802128947e+51,1.0259861361490262e+51,1.905402824276763e+51
108.98989898989899,1.4647109909291223e+51,1.0252976936503856e+51,1.904124288207859e+51
110.4040404040404,1.4637275016453497e+51,1.0246092511517447e+51,1.9028457521389545e+51
111.81818181818181,1.4627440123615771e+51,1.023920808653104e+51,1.9015672160700502e+51
113.23232323232324,1.4617605230778045e+51,1.023232366154463e+51,1.900288680001146e+51
114.64646464646465,1.4607770337940319e+51,1.0225439236558223e+51,1.8990101439322416e+51
116.06060606060606,1.4597935445102593e+51,1.0218554811571814e+51,1.897731607863337e+51
117.47474747474747,1.4588100552264869e+51,1.0211670386585407e+51,1.896453071794433e+51
118.88888888888889,1.4578265659427143e+51,1.0204785961599e+51,1.8951745357255288e+51
120.3030303030303,1.4568430766589417e+51,1.019790153661259e+51,1.893895999656624e+51
121.71717171717172,1.455859587375169e+51,1.0191017111626183e+51,1.89261746358772e+51
123.13131313131314,1.4548760980913965e+51,1.0184132686639774e+51,1.8913389275188155e+51
124.54545454545455,1.453892608807624e+51,1.0177248261653369e+51,1.8900603914499112e+51
125.95959595959596,1.4529091195238515e+51,1.017036383666696e+51,1.888781855381007e+51
127.37373737373737,1.4519256302400789e+51,1.0163479411680552e+51,1.8875033193121027e+51
128.78787878787878,1.4509421409563063e+51,1.0156594986694143e+51,1.886224783243198e+51
130.2020202020202,1.4499586516725337e+51,1.0149710561707736e+51,1.8849462471742937e+51
131.6161616161616,1.4489751623887612e+51,1.0142826136721328e+51,1.8836677111053898e+51
133.03030303030303,1.4479916731049886e+51,1.013594171173492e+51,1.882389175036485e+51
134.44444444444446,1.447008183821216e+51,1.0129057286748512e+51,1.881110638967581e+51
135.85858585858585,1.4460246945374434e+51,1.0122172861762103e+51,1.8798321028986766e+51
137.27272727272725,1.445041205253671e+51,1.0115288436775696e+51,1.8785535668297723e+51
138.68686868686868,1.4440577159698984e+51,1.0108404011789288e+51,1.877275030760868e+51
140.1010101010101,1.4430742266861258e+51,1.010151958680288e+51,1.8759964946919637e+51
141.5151515151515,1.4420907374023532e+51,1.0094635161816472e+51,1.8747179586230594e+51
142.92929292929293,1.4411072481185806e+51,1.0087750736830063e+51,1.8734394225541548e+51
144.34343434343435,1.440123758834808e+51,1.0080866311843656e+51,1.8721608864852505e+51
145.75757575757575,1.4391402695510354e+51,1.0073981886857247e+51,1.8708823504163462e+51
147.17171717171718,1.438156780267263e+51,1.0067097461870841e+51,1.869603814347442e+51
148.58585858585857,1.4371732909834904e+51,1.0060213036884432e+51,1.8683252782785376e+51
150.0,1.4361898016997178e+51,1.0053328611898025e+51,1.8670467422096333e+51
