Sparks,Fraction_Core_IGE/burned,Fraction_Core_IGE/burned_lower_limit,Fraction_Core_IGE/burned_upper_limit
10.0,0.7748170835892351,0.6198536668713881,0.929780500307082
11.414141414141413,0.7733103521357197,0.6186482817085759,0.9279724225628636
12.828282828282829,0.7718036206822044,0.6174428965457636,0.9261643448186453
14.242424242424242,0.7702968892286891,0.6162375113829514,0.9243562670744269
15.656565656565657,0.7687901577751738,0.615032126220139,0.9225481893302085
17.070707070707073,0.7672834263216585,0.6138267410573268,0.9207401115859901
18.484848484848484,0.7657766948681431,0.6126213558945146,0.9189320338417717
19.8989898989899,0.7642699634146278,0.6114159707317023,0.9171239560975534
21.313131313131315,0.7627632319611125,0.6102105855688901,0.9153158783533349
22.727272727272727,0.7612565005075972,0.6090052004060778,0.9135078006091166
24.141414141414142,0.7597497690540819,0.6077998152432655,0.9116997228648982
25.555555555555557,0.7582430376005665,0.6065944300804533,0.9098916451206798
26.96969696969697,0.7567363061470512,0.605389044917641,0.9080835673764615
28.383838383838384,0.7552295746935359,0.6041836597548288,0.906275489632243
29.7979797979798,0.7537228432400206,0.6029782745920165,0.9044674118880247
31.21212121212121,0.7522161117865053,0.6017728894292043,0.9026593341438063
32.62626262626263,0.75070938033299,0.600567504266392,0.9008512563995879
34.04040404040404,0.7492026488794746,0.5993621191035797,0.8990431786553695
35.45454545454545,0.7476959174259593,0.5981567339407675,0.8972351009111511
36.868686868686865,0.746189185972444,0.5969513487779552,0.8954270231669328
38.282828282828284,0.7446824545189287,0.595745963615143,0.8936189454227144
39.696969696969695,0.7431757230654134,0.5945405784523307,0.891810867678496
41.111111111111114,0.741668991611898,0.5933351932895184,0.8900027899342776
42.525252525252526,0.7401622601583827,0.5921298081267062,0.8881947121900592
43.93939393939394,0.7386555287048674,0.5909244229638939,0.8863866344458409
45.35353535353536,0.7371487972513521,0.5897190378010817,0.8845785567016224
46.76767676767677,0.7356420657978368,0.5885136526382694,0.8827704789574041
48.18181818181818,0.7341353343443214,0.5873082674754572,0.8809624012131857
49.5959595959596,0.7326286028908061,0.586102882312645,0.8791543234689673
51.01010101010101,0.7311218714372908,0.5848974971498326,0.877346245724749
52.42424242424242,0.7296151399837755,0.5836921119870204,0.8755381679805305
53.83838383838384,0.7281084085302602,0.5824867268242081,0.8737300902363122
55.25252525252525,0.7266016770767448,0.5812813416613959,0.8719220124920938
56.666666666666664,0.7250949456232295,0.5800759564985837,0.8701139347478754
58.08080808080808,0.7235882141697142,0.5788705713357714,0.868305857003657
59.494949494949495,0.722081482716199,0.5776651861729593,0.8664977792594387
60.90909090909091,0.7205747512626837,0.5764598010101469,0.8646897015152204
62.323232323232325,0.7190680198091683,0.5752544158473347,0.862881623771002
63.73737373737374,0.717561288355653,0.5740490306845224,0.8610735460267837
65.15151515151516,0.7160545569021377,0.5728436455217102,0.8592654682825652
66.56565656565657,0.7145478254486224,0.571638260358898,0.8574573905383468
67.97979797979798,0.7130410939951071,0.5704328751960857,0.8556493127941285
69.39393939393939,0.7115343625415917,0.5692274900332734,0.85384123504991
70.8080808080808,0.7100276310880764,0.5680221048704611,0.8520331573056917
72.22222222222223,0.7085208996345611,0.5668167197076489,0.8502250795614733
73.63636363636363,0.7070141681810458,0.5656113345448367,0.8484170018172549
75.05050505050505,0.7055074367275305,0.5644059493820244,0.8466089240730366
76.46464646464646,0.7040007052740151,0.5632005642192122,0.8448008463288181
77.87878787878788,0.7024939738204998,0.5619951790563998,0.8429927685845998
79.29292929292929,0.7009872423669845,0.5607897938935876,0.8411846908403814
80.70707070707071,0.6994805109134692,0.5595844087307754,0.839376613096163
82.12121212121212,0.6979737794599539,0.5583790235679631,0.8375685353519446
83.53535353535354,0.6964670480064385,0.5571736384051509,0.8357604576077262
84.94949494949495,0.6949603165529232,0.5559682532423386,0.8339523798635079
86.36363636363636,0.6934535850994079,0.5547628680795264,0.8321443021192895
87.77777777777777,0.6919468536458926,0.5535574829167141,0.830336224375071
89.1919191919192,0.6904401221923773,0.5523520977539018,0.8285281466308527
90.60606060606061,0.688933390738862,0.5511467125910896,0.8267200688866343
92.02020202020202,0.6874266592853466,0.5499413274282773,0.824911991142416
93.43434343434343,0.6859199278318313,0.5487359422654651,0.8231039133981976
94.84848484848484,0.684413196378316,0.5475305571026529,0.8212958356539791
96.26262626262626,0.6829064649248007,0.5463251719398405,0.8194877579097608
97.67676767676768,0.6813997334712854,0.5451197867770283,0.8176796801655424
99.0909090909091,0.67989300201777,0.543914401614216,0.8158716024213241
100.5050505050505,0.6783862705642547,0.5427090164514038,0.8140635246771056
101.91919191919192,0.6768795391107394,0.5415036312885916,0.8122554469328872
103.33333333333333,0.6753728076572241,0.5402982461257793,0.8104473691886689
104.74747474747475,0.6738660762037088,0.539092860962967,0.8086392914444505
106.16161616161617,0.6723593447501934,0.5378874758001547,0.8068312137002321
107.57575757575758,0.6708526132966781,0.5366820906373425,0.8050231359560137
108.98989898989899,0.6693458818431628,0.5354767054745303,0.8032150582117953
110.4040404040404,0.6678391503896475,0.534271320311718,0.801406980467577
111.81818181818181,0.6663324189361322,0.5330659351489058,0.7995989027233585
113.23232323232324,0.6648256874826168,0.5318605499860934,0.7977908249791402
114.64646464646465,0.6633189560291015,0.5306551648232812,0.7959827472349218
116.06060606060606,0.6618122245755862,0.529449779660469,0.7941746694907034
117.47474747474747,0.6603054931220709,0.5282443944976567,0.792366591746485
118.88888888888889,0.6587987616685556,0.5270390093348445,0.7905585140022666
120.3030303030303,0.6572920302150402,0.5258336241720322,0.7887504362580483
121.71717171717172,0.6557852987615249,0.52462823900922,0.7869423585138299
123.13131313131314,0.6542785673080096,0.5234228538464077,0.7851342807696114
124.54545454545455,0.6527718358544943,0.5222174686835954,0.7833262030253931
125.95959595959596,0.651265104400979,0.5210120835207832,0.7815181252811747
127.37373737373737,0.6497583729474636,0.5198066983579709,0.7797100475369564
128.78787878787878,0.6482516414939483,0.5186013131951587,0.777901969792738
130.2020202020202,0.646744910040433,0.5173959280323465,0.7760938920485195
131.6161616161616,0.6452381785869177,0.5161905428695341,0.7742858143043012
133.03030303030303,0.6437314471334024,0.5149851577067219,0.7724777365600828
134.44444444444446,0.642224715679887,0.5137797725439096,0.7706696588158645
135.85858585858585,0.6407179842263717,0.5125743873810974,0.768861581071646
137.27272727272725,0.6392112527728564,0.5113690022182852,0.7670535033274276
138.68686868686868,0.6377045213193411,0.5101636170554729,0.7652454255832093
140.1010101010101,0.6361977898658258,0.5089582318926607,0.7634373478389909
141.5151515151515,0.6346910584123104,0.5077528467298483,0.7616292700947725
142.92929292929293,0.6331843269587951,0.5065474615670361,0.7598211923505541
144.34343434343435,0.6316775955052798,0.5053420764042239,0.7580131146063357
145.75757575757575,0.6301708640517645,0.5041366912414116,0.7562050368621174
147.17171717171718,0.6286641325982492,0.5029313060785994,0.754396959117899
148.58585858585857,0.6271574011447338,0.501725920915787,0.7525888813736806
150.0,0.6256506696912185,0.5005205357529748,0.7507808036294622
