log Total_Ejecta_Mass_(solmass),Fraction_Core_Ni56/IGE,Fraction_Core_Ni56/IGE_lower_limit,Fraction_Core_Ni56/IGE_upper_limit
-0.08107261459484345,0.7946128813013524,0.635690305041082,0.904655045
-0.0798371136538048,0.7967419363625448,0.6373935490900359,0.904655045
-0.07860161271276617,0.7988485308157895,0.6390788246526317,0.904655045
-0.07736611177172752,0.8009326646610869,0.6407461317288696,0.904655045
-0.07613061083068887,0.8029943378984368,0.6423954703187494,0.904655045
-0.07489510988965022,0.8050335505278392,0.6440268404222714,0.904655045
-0.07365960894861157,0.8070503025492941,0.6456402420394354,0.904655045
-0.07242410800757293,0.8090445939628015,0.6472356751702413,0.904655045
-0.07118860706653428,0.8110164247683614,0.6488131398146892,0.904655045
-0.06995310612549563,0.8129657949659739,0.6503726359727792,0.904655045
-0.06871760518445699,0.8148927045556389,0.6519141636445112,0.904655045
-0.06748210424341834,0.8167971535373564,0.6534377228298851,0.904655045
-0.06624660330237969,0.8186791419111263,0.6549433135289011,0.904655045
-0.06501110236134104,0.8205386696769489,0.6564309357415592,0.904655045
-0.06377560142030239,0.8223757368348239,0.6579005894678591,0.904655045
-0.06254010047926375,0.8241903433847514,0.6593522747078011,0.904655045
-0.061304599538225105,0.8259824893267315,0.6607859914613852,0.904655045
-0.060069098597186454,0.827752174660764,0.6622017397286113,0.904655045
-0.05883359765614781,0.8294993993868491,0.6635995195094794,0.904655045
-0.05759809671510917,0.8312241635049867,0.6649793308039894,0.904655045
-0.05636259577407052,0.8329264670151768,0.6663411736121415,0.904655045
-0.05512709483303187,0.8346063099174195,0.6676850479339356,0.904655045
-0.053891593891993224,0.8362636922117146,0.6690109537693717,0.904655045
-0.05265609295095458,0.8378986138980623,0.6703188911184499,0.904655045
-0.05142059200991593,0.8395110749764625,0.67160885998117,0.904655045
-0.05018509106887728,0.8411010754469151,0.6728808603575321,0.904655045
-0.04894959012783864,0.8426686153094204,0.6741348922475363,0.904655045
-0.04771408918679999,0.8442136945639781,0.6753709556511825,0.904655045
-0.04647858824576134,0.8457363132105883,0.6765890505684706,0.904655045
-0.04524308730472269,0.847236471249251,0.6777891769994009,0.904655045
-0.04400758636368405,0.8487141686799663,0.6789713349439731,0.904655045
-0.042772085422645406,0.8501694055027341,0.6801355244021874,0.904655045
-0.041536584481606756,0.8516021817175544,0.6812817453740436,0.904655045
-0.040301083540568106,0.8530124973244273,0.6824099978595419,0.904655045
-0.03906558259952946,0.8544003523233525,0.6835202818586821,0.904655045
-0.03783008165849082,0.8557657467143304,0.6846125973714643,0.904655045
-0.03659458071745217,0.8571086804973608,0.6856869443978887,0.904655045
-0.03535907977641352,0.8584291536724437,0.6867433229379549,0.904655045
-0.034123578835374875,0.859727166239579,0.6877817329916632,0.904655045
-0.03288807789433623,0.861002718198767,0.6888021745590136,0.904655045
-0.03165257695329758,0.8622558095500074,0.6898046476400059,0.904655045
-0.03041707601225893,0.8634864402933004,0.6907891522346403,0.904655045
-0.029181575071220288,0.8646946104286458,0.6917556883429167,0.904655045
-0.027946074130181645,0.8658803199560438,0.6927042559648351,0.904655045
-0.026710573189142994,0.8670435688754943,0.6936348551003955,0.904655045
-0.025475072248104344,0.8681843571869973,0.6945474857495979,0.904655045
-0.0242395713070657,0.8693026848905527,0.6954421479124422,0.904655045
-0.023004070366027057,0.8703985519861608,0.6963188415889286,0.904655045
-0.021768569424988407,0.8714719584738213,0.6971775667790571,0.904655045
-0.020533068483949757,0.8725229043535344,0.6980183234828276,0.904655045
-0.019297567542911113,0.8735513896253,0.69884111170024,0.904655045
-0.01806206660187247,0.874557414289118,0.6996459314312945,0.904655045
-0.01682656566083382,0.8755409783449887,0.700432782675991,0.904655045
-0.01559106471979517,0.8765020817929118,0.7012016654343295,0.904655045
-0.014355563778756533,0.8774407246328875,0.70195257970631,0.904655045
-0.013120062837717883,0.8783569068649156,0.7026855254919325,0.904655045
-0.011884561896679233,0.8792506284889963,0.703400502791197,0.904655045
-0.010649060955640582,0.8801218895051295,0.7040975116041036,0.904655045
-0.009413560014601932,0.8809706899133152,0.7047765519306521,0.904655045
-0.008178059073563296,0.8817970297135533,0.7054376237708427,0.904655045
-0.0069425581325246455,0.8826009089058441,0.7060807271246753,0.904655045
-0.005707057191485995,0.8833823274901874,0.70670586199215,0.904655045
-0.004471556250447359,0.8841412854665831,0.7073130283732665,0.904655045
-0.0032360553094087086,0.8848777828350314,0.7079022262680251,0.904655045
-0.0020005543683700583,0.8855918195955322,0.7084734556764258,0.904655045
-0.000765053427331408,0.8862833957480856,0.7090267165984685,0.904655045
0.00047044751370724225,0.8869525112926914,0.7095620090341531,0.904655045
0.0017059484547458786,0.8875991662293496,0.7100793329834798,0.904655045
0.002941449395784529,0.8882233605580605,0.7105786884464484,0.904655045
0.004176950336823179,0.888825094278824,0.7110600754230592,0.904655045
0.005412451277861816,0.8894043673916397,0.7115234939133118,0.904655045
0.006647952218900466,0.8899611798965081,0.7119689439172066,0.904655045
0.007883453159939116,0.8904955317934291,0.7123964254347434,0.904655045
0.009118954100977766,0.8910074230824025,0.7128059384659221,0.904655045
0.010354455042016417,0.8914968537634285,0.7131974830107428,0.904655045
0.011589955983055053,0.891963823836507,0.7135710590692056,0.904655045
0.012825456924093703,0.8924083333016379,0.7139266666413104,0.904655045
0.014060957865132354,0.8928303821588214,0.7142643057270571,0.904655045
0.01529645880617099,0.8932299704080574,0.714583976326446,0.904655045
0.01653195974720964,0.893607098049346,0.7148856784394768,0.904655045
0.01776746068824829,0.893961765082687,0.7151694120661496,0.904655045
0.01900296162928694,0.8942939715080805,0.7154351772064644,0.904655045
0.02023846257032559,0.8946037173255267,0.7156829738604213,0.904655045
0.021473963511364227,0.8948910025350252,0.7159128020280202,0.904655045
0.022709464452402878,0.8951558271365763,0.716124661709261,0.904655045
0.023944965393441528,0.8953981911301799,0.716318552904144,0.904655045
0.025180466334480164,0.8956180945158361,0.7164944756126689,0.904655045
0.026415967275518815,0.8958155372935447,0.7166524298348358,0.904655045
0.027651468216557465,0.8959905194633059,0.7167924155706448,0.904655045
0.028886969157596115,0.8961430410251195,0.7169144328200957,0.904655045
0.030122470098634765,0.8962731019789858,0.7170184815831887,0.904655045
0.0313579710396734,0.8963807023249044,0.7171045618599236,0.904655045
0.03259347198071205,0.8964658420628757,0.7171726736503006,0.904655045
0.0338289729217507,0.8965285211928994,0.7172228169543196,0.904655045
0.03506447386278934,0.8965687397149756,0.7172549917719806,0.904655045
0.03629997480382799,0.8965864976291045,0.7172691981032836,0.904655045
0.03753547574486664,0.8965817949352858,0.7172654359482287,0.904655045
0.03877097668590529,0.8965546316335196,0.7172437053068157,0.904655045
0.04000647762694394,0.8965050077238058,0.7172040061790447,0.904655045
0.04124197856798258,0.8964329232061446,0.7171463385649157,0.904655045
