log Fraction_Shell_burned,log Fraction_Shell_CO/unburned,log Fraction_Shell_CO/unburned_lower_limit,log Fraction_Shell_CO/unburned_upper_limit
-1.3010299956639813,4.5726883742556454,-0.3162311536006189,-0.3162311536006189
-1.2284793285153695,4.21035908354096,-0.3162311536006189,-0.3162311536006189
-1.166331421766525,3.8999827926436543,-0.3162311536006189,-0.3162311536006189
-1.1119737594439323,3.6285121913615237,-0.3162311536006189,-0.3162311536006189
-1.0636690798693773,3.3872711252718437,-0.3162311536006189,-0.3162311536006189
-1.0202033860882869,3.170196705186025,-0.3162311536006189,-0.3162311536006189
-0.9806948448046133,2.9728849187738824,-0.3162311536006189,-0.3162311536006189
-0.9444826721501687,2.7920357088521284,-0.3162311536006189,-0.3162311536006189
-0.9110589166632189,2.6251122869930184,-0.3162311536006189,-0.3162311536006189
-0.8800246829232501,2.4701225075628264,-0.3162311536006189,-0.3162311536006189
-0.8510609869879335,2.3254733152511626,-0.3162311536006189,-0.3162311536006189
-0.8239087409443188,2.1898707848134835,-0.3162311536006189,-0.3162311536006189
-0.7983546364719306,2.062249621394499,-0.3162311536006189,-0.3162311536006189
-0.7742209567552112,1.9417222796378402,-0.3162311536006189,-0.3162311536006189
-0.7513580737957071,1.8275414940987995,-0.3162311536006189,-0.3162311536006189
-0.7296388241024708,1.719072190569369,-0.3162311536006189,-0.3162311536006189
-0.7089542252426198,1.6157700938669957,-0.3162311536006189,-0.3162311536006189
-0.6892101670468626,1.5171652032014926,-0.3162311536006189,-0.3162311536006189
-0.6703248228864888,1.42284886369059,-0.3162311536006189,-0.3162311536006189
-0.6522266007936925,1.3324635339368698,-0.3162311536006189,-0.3162311536006189
-0.6348525047242699,1.2456946019193624,-0.3162311536006189,-0.3162311536006189
-0.6181468112214172,1.1622637760471932,-0.3162311536006189,-0.3162311536006189
-0.6020599913279624,1.0819237010219573,-0.3162311536006189,-0.3162311536006189
-0.5865478251497148,1.0044535358296816,-0.3162311536006189,-0.3162311536006189
-0.571570669180062,0.9296552946461569,-0.3162311536006189,-0.3162311536006189
-0.5570928458114391,0.8573507979624762,-0.3162311536006189,-0.3162311536006189
-0.5430821313686245,0.7873791157438632,-0.3162311536006189,-0.3162311536006189
-0.5295093241793506,0.7195944103072727,-0.3162311536006189,-0.3162311536006189
-0.5163478781213798,0.6538641061986168,-0.3162311536006189,-0.3162311536006189
-0.503573590084951,0.5900673293317216,-0.3162311536006189,-0.3162311536006189
-0.491164332103131,0.5280935692057349,-0.3162311536006189,-0.3162311536006189
-0.4790998207017504,0.46784152700290726,-0.3162311536006189,-0.3162311536006189
-0.46736141743050624,0.40921811940996666,-0.3162311536006189,-0.3162311536006189
-0.4559319556497244,0.3521376135643284,-0.3468323907716905,-0.3162311536006189
-0.44479558953176485,0.29652087294368035,-0.4024491313923385,-0.3162311536006189
-0.4339376619435565,0.24229469755085709,-0.45667530678516177,-0.3162311536006189
-0.4233445884461324,0.18939124458952006,-0.5095787597464988,-0.3162311536006189
-0.41300375510791354,0.13774751812783603,-0.5612224862081828,-0.3162311536006189
-0.4029034282035877,0.0873049181206651,-0.6116650862153538,-0.3162311536006189
-0.39303267417729343,0.03800884069328103,-0.6609611636427378,-0.3162311536006189
-0.38338128850111264,-0.010191677150356293,-0.7091616814863752,-0.3162311536006189
-0.37393973226827115,-0.057344274190998634,-0.7563142785270175,-0.3162311536006189
-0.3646990755333585,-0.10349354796184418,-0.802463552297863,-0.3162311536006189
-0.3556509465559614,-0.1486813082337084,-0.8476513125697273,-0.3162311536006189
-0.3467874862246564,-0.19294680462867775,-0.8919168089646966,-0.3162311536006189
-0.3381013070395637,-0.2363269314676011,-0.9352969358036199,-0.3162311536006189
-0.32958545611703405,-0.2788564125304256,-0.9778264168664444,-0.3162311536006189
-0.3212333817522682,-0.32056796804766274,-1.0195379723836817,-0.3162311536006189
-0.3130389031369966,-0.3614924659349963,-1.0604624702710153,-0.3162311536006189
-0.30499618288158264,-0.40165905902216315,-1.100629063358182,-0.3162311536006189
-0.2970997020355488,-0.4410953098043211,-1.1400653141403398,-0.3162311536006189
-0.2893442373387865,-0.47982730405303897,-1.1787973083890577,-0.3162311536006189
-0.2817248404685946,-0.5178797544598048,-1.2168497587958238,-0.3162311536006189
-0.2742368190760446,-0.5552760953433626,-1.2542460996793814,-0.3162311536006189
-0.2668757194296755,-0.5920385693297934,-1.2910085736658123,-0.3367660642264873
-0.2596373105057561,-0.6281883068082135,-1.3271583111442324,-0.3729158017049074
-0.25251756938280834,-0.6637453988727928,-1.3627154032088118,-0.40847289376948676
-0.2455126678141498,-0.69872896438156,-1.3976989687175787,-0.4434564592782539
-0.23861895986624937,-0.7331572116923739,-1.4321272160283929,-0.47788470658906784
-0.23183297052295723,-0.7670474955751665,-1.4660174999111852,-0.5117749904718605
-0.22515138516644198,-0.800416369745776,-1.4993863740817948,-0.54514386464247
-0.21857103985512039,-0.8332796354194738,-1.5322496397554928,-0.5780071303161678
-0.21208891232720012,-0.8656523862406691,-1.5646223905766878,-0.6103798811373631
-0.2057021136657994,-0.8975490499085939,-1.5965190542446126,-0.6422765448052878
-0.19940788056811115,-0.9289834267862972,-1.627953431122316,-0.6737109216829911
-0.19320356816682635,-0.9599687257515715,-1.6589387300875904,-0.7046962206482654
-0.18708664335714442,-0.9905175975228978,-1.6894876018589167,-0.7352450924195917
-0.18105467858723137,-1.020642165670861,-1.7196121700068798,-0.7653696605675551
-0.1751053460740301,-1.0503540555052922,-1.7493240598413111,-0.7950815504019861
-0.1692364124099322,-1.079664421010385,-1.7786344253464037,-0.8243919159070789
-0.16344573352903677,-1.108583969983981,-1.8075539743199998,-0.853311464880675
-0.15773125000460744,-1.1371229875227997,-1.8360929918588185,-0.8818504824194937
-0.15209098265191473,-1.1652913579825253,-1.864261362318544,-0.9100188528792192
-0.14652302841297252,-1.1930985855300718,-1.8920685898660907,-0.9378260804267657
-0.14102555650175472,-1.220553813394969,-1.9195238177309877,-0.9652813082916629
-0.13559680479035652,-1.247665841917434,-1.9466358462534528,-0.992393336814128
-0.13023507641824839,-1.2744431454822838,-1.9734131498183025,-1.0191706403789778
-0.12493873660829995,-1.3008938884202044,-1.9998638927562231,-1.0456213833168984
-0.11970620967462292,-1.327025939951049,-2.0259959442870676,-1.0717534348477429
-0.11453597620853269,-1.3528468882375824,-2.0518168925736013,-1.0975743831342764
-0.10942657043005237,-1.3783640536124802,-2.077334057948499,-1.1230915485091741
-0.10437657769341081,-1.403584501036259,-2.102554505372278,-1.148311995932953
-0.09938463213591182,-1.428515051839189,-2.1274850561752077,-1.173242546735883
-0.0944494144603996,-1.4531622947960048,-2.1521322991320235,-1.1978897896926988
-0.08956964984231308,-1.4775325965784019,-2.1765026009144206,-1.2222600914750958
-0.08474410595302172,-1.5016321116268032,-2.200602115962822,-1.2463596065234972
-0.07997159109177678,-1.5254667914796851,-2.224436795815704,-1.270194286376379
-0.07525095241919241,-1.5490423935958475,-2.2480123979318662,-1.2937698884925415
-0.07058107428570728,-1.5723644897023348,-2.2713344940383537,-1.3170919845990288
-0.06596087664896208,-1.5954384736982985,-2.2944084780343172,-1.3401659685949925
-0.06138931357447871,-1.6182695691428384,-2.317239573478857,-1.3629970640395324
-0.05686537181443246,-1.6408628363528348,-2.3398328406888536,-1.3855903312495288
-0.05238806945968823,-1.6632231791348888,-2.362193183470908,-1.4079506740315828
-0.04795645466061328,-1.6853553511737815,-2.3843253555098003,-1.4300828460704755
-0.04356960441249959,-1.7072639620982641,-2.406233966434283,-1.4519914569949581
-0.03922662340171734,-1.7289534832435454,-2.427923487579564,-1.4736809781402394
-0.03492664290899332,-1.7504282531284905,-2.4493982574645092,-1.4951557480251845
-0.03066881976645196,-1.771692482664319,-2.4706624870003377,-1.516419977561013
-0.02645233536528848,-1.7927502601104404,-2.4917202644464593,-1.5374777550071344
-0.022276394711152253,-1.813605555792015,-2.5125755601280337,-1.558333050688709
