log Total_Ejecta_Mass_(solmass),Rise_Time_(d),Rise_Time_(d)_lower_limit,Rise_Time_(d)_upper_limit
0.22025879608405496,22.051795530461323,19.84661597741519,24.256975083507456
0.22107618907582768,22.024331497448006,19.821898347703208,24.22676464719281
0.22189358206760038,21.996867464434693,19.797180717991225,24.196554210878165
0.2227109750593731,21.969403431421377,19.77246308827924,24.166343774563515
0.2235283680511458,21.941939398408064,19.74774545856726,24.13613333824887
0.2243457610429185,21.914475365394747,19.723027828855273,24.105922901934225
0.2251631540346912,21.887011332381434,19.69831019914329,24.075712465619578
0.22598054702646392,21.859547299368117,19.673592569431307,24.04550202930493
0.2267979400182366,21.832083266354804,19.648874939719324,24.015291592990287
0.22761533301000933,21.80461923334149,19.62415731000734,23.98508115667564
0.22843272600178202,21.777155200328174,19.599439680295358,23.954870720360994
0.22925011899355474,21.749691167314857,19.57472205058337,23.924660284046347
0.23006751198532743,21.722227134301544,19.55000442087139,23.8944498477317
0.23088490497710015,21.69476310128823,19.52528679115941,23.864239411417056
0.23170229796887284,21.667299068274914,19.500569161447423,23.83402897510241
0.23251969096064556,21.6398350352616,19.47585153173544,23.803818538787763
0.23333708395241826,21.612371002248288,19.45113390202346,23.77360810247312
0.23415447694419098,21.58490696923497,19.426416272311474,23.743397666158472
0.23497186993596367,21.557442936221655,19.40169864259949,23.71318722984382
0.2357892629277364,21.52997890320834,19.37698101288751,23.68297679352918
0.23660665591950908,21.50251487019503,19.352263383175526,23.652766357214535
0.2374240489112818,21.475050837181712,19.327545753463543,23.622555920899885
0.2382414419030545,21.4475868041684,19.30282812375156,23.59234548458524
0.2390588348948272,21.420122771155082,19.278110494039574,23.56213504827059
0.2398762278865999,21.39265873814177,19.253392864327594,23.531924611955947
0.24069362087837262,21.365194705128452,19.228675234615608,23.5017141756413
0.2415110138701453,21.33773067211514,19.203957604903625,23.471503739326653
0.24232840686191803,21.310266639101826,19.179239975191646,23.44129330301201
0.24314579985369073,21.28280260608851,19.15452234547966,23.411082866697363
0.24396319284546344,21.255338573075193,19.129804715767673,23.380872430382713
0.24478058583723614,21.22787454006188,19.105087086055693,23.35066199406807
0.24559797882900886,21.200410507048566,19.08036945634371,23.320451557753426
0.24641537182078155,21.17294647403525,19.055651826631724,23.290241121438775
0.24723276481255427,21.145482441021933,19.03093419691974,23.26003068512413
0.24805015780432696,21.118018408008624,19.006216567207762,23.22982024880949
0.24886755079609968,21.090554374995307,18.981498937495775,23.199609812494838
0.24968494378787237,21.06309034198199,18.956781307783793,23.16939937618019
0.25050233677964506,21.035626308968677,18.93206367807181,23.139188939865548
0.2513197297714178,21.008162275955364,18.907346048359827,23.1089785035509
0.2521371227631905,20.980698242942047,18.882628418647844,23.078768067236254
0.2529545157549632,20.95323420992873,18.857910788935857,23.048557630921607
0.2537719087467359,20.92577017691542,18.833193159223878,23.018347194606964
0.25458930173850863,20.898306143902104,18.808475529511895,22.988136758292317
0.2554066947302813,20.870842110888788,18.78375789979991,22.95792632197767
0.256224087722054,20.843378077875474,18.759040270087926,22.927715885663023
0.2570414807138267,20.81591404486216,18.734322640375947,22.89750544934838
0.25785887370559946,20.788450011848845,18.70960501066396,22.867295013033733
0.25867626669737215,20.760985978835528,18.684887380951977,22.837084576719082
0.25949365968914484,20.733521945822215,18.660169751239994,22.80687414040444
0.26031105268091753,20.7060579128089,18.63545212152801,22.776663704089795
0.2611284456726903,20.678593879795585,18.61073449181603,22.746453267775145
0.26194583866446297,20.65112984678227,18.586016862104042,22.716242831460498
0.26276323165623566,20.62366581376896,18.561299232392063,22.68603239514586
0.26358062464800835,20.596201780755642,18.53658160268008,22.655821958831208
0.2643980176397811,20.568737747742325,18.511863972968094,22.62561152251656
0.2652154106315538,20.541273714729012,18.48714634325611,22.595401086201914
0.2660328036233265,20.5138096817157,18.46242871354413,22.56519064988727
0.2668501966150992,20.486345648702383,18.437711083832145,22.534980213572624
0.2676675896068719,20.458881615689066,18.41299345412016,22.504769777257973
0.2684849825986446,20.431417582675753,18.38827582440818,22.47455934094333
0.2693023755904173,20.40395354966244,18.363558194696196,22.444348904628686
0.27011976858219,20.376489516649123,18.33884056498421,22.414138468314036
0.27093716157396275,20.349025483635806,18.314122935272227,22.38392803199939
0.27175455456573544,20.321561450622493,18.289405305560244,22.353717595684746
0.27257194755750813,20.29409741760918,18.26468767584826,22.3235071593701
0.2733893405492808,20.266633384595863,18.23997004613628,22.29329672305545
0.27420673354105357,20.239169351582547,18.215252416424292,22.263086286740805
0.27502412653282626,20.211705318569237,18.190534786712313,22.23287585042616
0.27584151952459895,20.18424128555592,18.16581715700033,22.202665414111515
0.27665891251637165,20.156777252542604,18.141099527288343,22.172454977796868
0.2774763055081444,20.12931321952929,18.11638189757636,22.14224454148222
0.2782936984999171,20.101849186515977,18.09166426786438,22.112034105167577
0.2791110914916898,20.07438515350266,18.066946638152395,22.08182366885293
0.27992848448346247,20.046921120489348,18.04222900844041,22.051613232538283
0.2807458774752352,20.01945708747603,18.01751137872843,22.021402796223636
0.2815632704670079,19.991993054462718,17.992793749016446,21.99119235990899
0.2823806634587806,19.9645290214494,17.968076119304463,21.960981923594343
0.2831980564505533,19.937064988436088,17.94335848959248,21.9307714872797
0.28401544944232604,19.909600955422775,17.918640859880497,21.900561050965052
0.28483284243409873,19.882136922409458,17.893923230168514,21.870350614650405
0.2856502354258714,19.85467288939614,17.869205600456528,21.84014017833576
0.28646762841764417,19.82720885638283,17.844487970744545,21.80992974202111
0.28728502140941686,19.799744823369515,17.819770341032566,21.779719305706468
0.28810241440118955,19.7722807903562,17.79505271132058,21.74950886939182
0.28891980739296225,19.744816757342885,17.770335081608597,21.719298433077174
0.28973720038473494,19.717352724329572,17.745617451896617,21.68908799676253
0.2905545933765077,19.689888691316256,17.72089982218463,21.658877560447884
0.2913719863682804,19.66242465830294,17.696182192472644,21.628667124133234
0.29218937936005307,19.634960625289626,17.671464562760665,21.59845668781859
0.2930067723518258,19.60749659227631,17.64674693304868,21.568246251503943
0.2938241653435985,19.580032559262996,17.622029303336696,21.538035815189296
0.2946415583353712,19.55256852624968,17.597311673624713,21.50782537887465
0.2954589513271439,19.525104493236366,17.57259404391273,21.477614942560006
0.2962763443189166,19.497640460223053,17.547876414200747,21.44740450624536
0.29709373731068933,19.470176427209736,17.523158784488764,21.417194069930712
0.297911130302462,19.442712394196423,17.49844115477678,21.38698363361607
0.2987285232942347,19.41524836118311,17.4737235250648,21.356773197301422
0.29954591628600746,19.387784328169793,17.449005895352816,21.326562760986775
0.30036330927778015,19.360320295156477,17.42428826564083,21.296352324672124
0.30118070226955285,19.332856262143164,17.399570635928846,21.26614188835748
